source,journal
American Journal of Pathology,American Journal of Pathology
American Journal of Preventive Medicine,American Journal of Preventive Medicine
American Journal of Preventive Medicine ,American Journal of Preventive Medicine
American Journal of Psychiatry,American Journal of Psychiatry
American Journal of Public Health,American Journal of Public Health
American Journal of Transplantation,American Journal of Transplantation
American Journal of Tropical Medicine & Hygiene,The American Journal of Tropical Medicine and Hygiene
American Society for Nutrition,American Society for Nutrition
Anal Bioanal Chem.,Analytical and Bioanalytical Chemistry
Analytical Biochemistry,Analytical Biochemistry
Analytical Chemistry,Analytical Chemistry
Angew chems Int Ed,Angewandte Chemie
Angewande Chemie,Angewandte Chemie
Angewandte Chemie,Angewandte Chemie
Angewandte Chemie International Edition,Angewandte Chemie International Edition
Animal Behaviour,Animal Behaviour
Annals of Human Genetics,Annals of Human Genetics
Annals of Neurology,Annals of Neurology
Annals of Neurology ,Annals of Neurology
Annals of Science,Annals of Science
Annals of the New York Academy of Sciences,Annals of the New York Academy of Sciences
Antimicobial Agents and Chemotherapy,Antimicrobial Agents and Chemotherapy
Antimicrobial Agents and Chemotherapy,Antimicrobial Agents and Chemotherapy
Antimicrobial Agfents and Chemotherapy,Antimicrobial Agents and Chemotherapy
Antioxidants & Redox Signaling,Antioxidants & Redox Signaling
Antioxidants and Redox Signaling,Antioxidants & Redox Signaling
Applied Energy,Applied Energy
Archives of Disease in Childhood,Archives of Disease in Childhood
Arthritis & Rheumatism,Arthritis & Rheumatology
Arthritis and Rheumatism,Arthritis & Rheumatology
Arthritis Research & Therapy,Arthritis Research & Therapy
Arthritis Research and Therapy,Arthritis Research & Therapy
Asian Journal of Psychiatry,Asian Journal of Psychiatry
ASN Neuro,ASN Neuro
Atherosclerosis,Atherosclerosis
Autophagy,Autophagy
Azania: Archaeological Research in Africa,Azania: Archaeological Research in Africa
BBA - Molecular Basis of Disease,BBA Molecular Basis of Disease
Behavior Research and Therapy,Behaviour Research and Therapy
Behavioral Neuroscience,Behavioral Neuroscience
Behaviour Research and Therapy,Behaviour Research and Therapy
Behavioural Brain Research,Behavioural Brain Research
Biinformatics,Bioinformatics
Biochem Journal,Biochemical Journal
BIOCHEM SOC TRANS,Biochemical Society Transactions
Biochemical and Biophysical Research Communications,Biochemical and Biophysical Research Communications
Biochemical Journal,Biochemical Journal
Biochemical Journals,Biochemical Journal
Biochemical Pharmacology,Biochemical Pharmacology
Biochemical Society Transactions,Biochemical Society Transactions
Biochemistry,Biochemistry
Biochimica et Bioohysica Acta - Gene Regulatory Mechanisms,Biochimica et Biophysica Acta (BBA) - Gene Regulatory Mechanisms
Biochimica et Bioohysica Acta - Molecular Basis of Disease,Biochimica et Biophysica Acta (BBA) - Molecular Basis of Disease
Biochimica et Biophysica Acta - Molecular Basis of Disease,Biochimica et Biophysica Acta (BBA) - Molecular Basis of Disease
Biochimica et Biophysica Acta (BBA) - Molecular Cell Research,Biochimica et Biophysica Acta (BBA) - Molecular Cell Research
Biochimie,Biochimie
Bioconjugate Chemistry,Bioconjugate Chemistry
Bioethics,Bioethics
Biogerontology,Biogerontology
Bioinformatics,Bioinformatics
Bioinformatics Online,Bioinformatics
BIOL OPEN,Biology Open
BIOLOGICAL CHEMISTRY,Biological Chemistry
Biological Psychiatry,Biological Psychiatry
BIOLOGICAL PSYCHOLOGY,Biological Psychology
Biologicial Chemistry,Biological Chemistry
Biology,Biology
Biology Letters,Biology Letters
Biology Open,Biology Open
Biomacromolecules,Biomacromolecules
Biomaterials,Biomaterials
BioMed Central,BioMed Central
Biomedical Microdevices,Biomedical Microdevices
Biomolecular NMR Assignments,Biomolecular NMR Assignments
Biophysical Journal,Biophysical Journal
Biopolymers,Biopolymers
Bioscience Reports,Bioscience Reports
BioSocieties,BioSocieties
Biosystems,Biosystems
Birth Defects Research Part A: Clinical and Molecular Teratology,Birth Defects Research Part A: Clinical and Molecular Teratology
Birth Defects Research Part A: Clinical and Molecular Teratology� ,Birth Defects Research Part A: Clinical and Molecular Teratology
BJOPHTHALMOL,British Journal of Ophthalmology
BJP,British Journal of Pharmacology
Blood,Blood
Blood Journal 2012,Blood
BMC  Public Health,BMC Public Health
BMC Biology,BMC Biology
BMC Genetics,BMC Genetics
BMC Genome Biology,BMC Genome Biology
BMC Genomics,BMC Genomics
BMC Genomics.,BMC Genomics
BMC Health Services Research,BMC Health Services Research
BMC Infectious Diseases,BMC Infectious Diseases
BMC Infectious Diseases ,BMC Infectious Diseases
BMC Medical Ethics,BMC Medical Ethics
BMC Medical Genetics,BMC Medical Genetics
BMC Medical Imaging,BMC Medical Imaging
BMC Medicine,BMC Medicine
BMC Microbiology,BMC Microbiology
BMC Molecular Biology,BMC Molecular Biology
BMC Neurology,BMC Neurology
BMC Neuroscience,BMC Neuroscience
BMC Pediatrics,BMC Pediatrics
BMC Psychiatry,BMC Psychiatry
BMC Public Health,BMC Public Health
BMC Research Notes,BMC Research Notes
BMC Veterinary Research,BMC Veterinary Research
BMJ,BMJ
BMJ open,BMJ
BMJ QUALITY AND SAFETY,BMJ Quality & Safety
BMS Genomics,BMC Genomics
Bone,Bone
Brain,Brain
Brain and Cognition,Brain and Cognition
Brain and Language,Brain and Language
Brain Online,Brain
Brain Research,Brain Research
Brain Structure and Function,Brain Structure and Function
Brain Topography,Brain Topography 
Briefings in Bioinformatics,Briefings in Bioinformatics
Briefings in Functional Genomics,Briefings in Functional Genomics
British Jounal of Pharmacology,British Journal of Pharmacology
British Journal for the History of Science,The British Journal for the History of Science
British Journal of Cancer,British Journal of Cancer
British journal of Clinical Pharmacology,British journal of Clinical Pharmacology
British Journal of Dermatology,British Journal of Dermatology
British Journal of Haematology,British Journal of Haematology
British Journal of Ophthalmology,British Journal of Ophthalmology
British Journal of Opthalmology,British Journal of Opthalmology
British Journal of Pharmacology,British Journal of Pharmacology
British Journal of Psychiatry,British Journal of Psychiatry
British Journal of the History of Science,The British Journal for the History of Science
British Medical Bulletin,British Medical Bulletin
British Medical Journal,British Medical Journal
Britsh Journal of Psychiatry,British Journal of Psychiatry
Brt Jnl Clinical Pharmacology,British Journal of Pharmacology
Bulletin of the History of Medicine,Bulletin of the History of Medicine
Calcified Tissue International,Calcified Tissue International
Canadian Journal of African Studies,Canadian Journal of African Studies
Cancer Letters,Cancer Letters
Cancer Research,Cancer Research
Cardiovascular Research,Cardiovascular Research
Cell,Cell
Cell Adhesion and Migration,Cell Adhesion and Migration
Cell and Tissue Research,Cell and Tissue Research
Cell Calcium,Cell Calcium
Cell Cycle,Cell Cycle
Cell Death & Disease,Cell Death & Disease
Cell Death and Differentiation,Cell Death & Differentiation
Cell Death and Disease,Cell Death & Disease
Cell Death Differentiation,Cell Death & Differentiation
Cell Host & Microbe,Cell Host & Microbe
Cell Host and Microbe,Cell Host & Microbe
Cell Journal,Cell Journal
Cell Metabolism,Cell Metabolism
Cell Press - Cell Reports,Cell Reports
Cell Reports,Cell Reports
Cell Stem Cell,Cell Stem Cell
Cellular and Molecular Cell Sciences,Cellular and Molecular Life Sciences
Cellular and Molecular Life Sciences,Cellular and Molecular Life Sciences
Cellular Microbiology,Cellular Microbiology
Cellular Signalling,Cellular Signalling
Centaurus,Centaurus
Cerebral Cortex,Cerebral Cortex
Cerebral Cortex Online,Cerebral Cortex
Cerebral Cortex print,Cerebral Cortex
Channels,Channels
CHEMBIOCHEM,ChemBioChem
Chemical Communication,Chemical Communication
Chemical Society Reviews,Chemical Society Reviews
Chemistry -  European Journal,Chemistry -  A European Journal
ChemMedChem,ChemMedChem
Chemsitry & Biology,Chemsitry & Biology
CHEST,CHEST
Child Neuropsychology,Child Neuropsychology
Child Psychology Psychiatry,Journal of Child Psychology and Psychiatry
"Child: Care, Health Development","Child: Care, Health and Development"
"CHILD: Care, Heath & Development","Child: Care, Health and Development"
Childs Nerv Syst,Child's Nervous System
Chromosome Research,Chromosome Research
Chronic Illness,Chronic Illness
Circulation Research,Circulation Research
Clinical and Experimental Allergy,Clinical and Experimental Allergy
Clinical and Vaccine Immunology,Clinical and Vaccine Immunology
Clinical Genetics,Clinical Genetics
Clinical Infectious Diseases,Clinical Infectious Diseases
Clinical Infectious Diseases ,Clinical Infectious Diseases
Clinical Infectious Diseases Online,Clinical Infectious Diseases
Clinical Neurology and Neurosurgery,Clinical Neurology and Neurosurgery
Clinical Proteomics,Clinical Proteomics
Clinical Radiology,Clinical Radiology
Clinical Transcriptional Science,Clinical Transcriptional Science
Clinicla Infectious Disease,Clinicla Infectious Disease
Cognition,Cognition
Cognitive Development,Cognitive Development
Cognitive Processing,Cognitive Processing
Cognitive Therapy and Research,Cognitive Therapy and Research
Computational Biology,Computational Biology
Consciousness & Cognition,Consciousness and Cognition
Consciousness and Cognition,Consciousness and Cognition
Cortex,Cortex
Cost Effectiveness and Resource Allocation,Cost Effectiveness and Resource Allocation
Criminal Behavior and Mental Health,Criminal Behavior and Mental Health
Curr Biol.,Current Biology
Current Analytical Chemistry,Current Analytical Chemistry
Current Atherosclerosis Reports,Current Atherosclerosis Reports
Current Biology,Current Biology
Current Obstetrics and Gynecology Reports,Current Obstetrics and Gynecology Reports 
Current Opinion in Neurobiology,Current Opinion in Neurobiology 
Current Opinion Microbiology,Current Opinion Microbiology
Current Opinions in Neurobiology,Current Opinion in Neurobiology 
Current Topics in Medicinal Chemistry,Current Topics in Medicinal Chemistry
Cytoskeleton,Cytoskeleton
Dalton Transactions,Dalton Transactions
Database,Database
Depression and Anxiety,Depression and Anxiety
Dermatologic Surgery,Dermatologic Surgery
Dev World Bioeth.,Developing World Bioethics
Dev. World Bioeth,Developing World Bioethics
Developing World Bioethics,Developing World Bioethics
Development,Development
Development ,Development
DEVELOPMENT CELL,Development
Development Dynamics,Development Dynamics
Development Genes and Evolution,Development Genes and Evolution
Development Science,Development Science
Developmental Biology,Developmental Biology
Developmental Cell,Developmental Cell
Developmental Cognitive Neuroscience,Developmental Cognitive Neuroscience 
Developmental Science,Developmental Science
Diabetic Medicine,Diabetic Medicine
Diabetologia,Diabetologia
Diagnostic Microbiology and Infectious Disease,Diagnostic Microbiology and Infectious Disease
Disease Models and Mechanisms,Disease Models and Mechanisms
Drug and Alcohol Review,Drug and Alcohol Review
Ecology and Evolution,Ecology and Evolution
Ecology Letters,Ecology Letters
Economic History Review,Economic History Review
Elsevier,Elsevier
EMBO,The EMBO Journal
EMBO Journal,The EMBO Journal
EMBO Molecular Medicine,EMBO Molecular Medicine
EMBO Reports,EMBO Reports
Emotion,Emotion
Endeavour,Endeavour
Endocrine Related Cancer,Endocrine Related Cancer
Endocrinology,Endocrinology
English Studies,English Studies
Environment and Planning A,Environment and Planning A: Economy and Space
Epidemiology and Infection,Epidemiology and Infection
Epigenetics,Epigenetics
Epigentics,Epigenetics
Epilepsia,Epilepsia
Epilepsy Research,Epilepsy Research
Essays in Biochemistry,Essays in Biochemistry
Ethn Health,Ethnicity & Health
Eukaryotic Cell,Eukaryotic Cell
Eur J Immunol,European Journal of Immunology
European Child and Adolescent Psychiatry,European Child & Adolescent Psychiatry
European Child and Adolescent Psychiatty,European Child & Adolescent Psychiatry
European Heart Journal Online,European Heart Journal Online
European History Quarterly,European History Quarterly
European Journal of cell Biology,European Journal of Cell Biology
European Journal of Clinical Pharmacology,European Journal of Clinical Pharmacology
European Journal of Endocrinology,European Journal of Endocrinology
European Journal of English Studies,European Journal of English Studies
European Journal of Epidemiology,European Journal of Epidemiology
European Journal of Health Law,European Journal of Health Law
European Journal of Human Genetics,European Journal of Human Genetics
European Journal of Immunology,European Journal of Immunology
European Journal of Medical Genetics,European Journal of Medical Genetics
European Journal of Neuroscience,European Journal of Neuroscience
European Journal of Preventive Cardiology,European Journal of Preventive Cardiology
European Journal of Public Health,European Journal of Public Health
European Neuropsychopharmacology,European Neuropsychopharmacology
European Radiology,European Radiology
European Respiratory Journal,European Respiratory Journal
Evaluation in Clinical Practice,Evaluation in Clinical Practice
"Evidence, Ethos and Experiment: The Anthropology and History of Medical Research in Africa.","Evidence, Ethos and Experiment: The Anthropology and History of Medical Research in Africa"
EvoDevo,Evo-Devo
Evolution,Evolution
Evolutionary Applications,Evolutionary Applications
Experimental Brain Research,Experimental Brain Research
Experimental Cell Research,Experimental Cell Research
Experimental Eye Research,Experimental Eye Research
Experimental Hematology,Experimental Hematology
Experimental Neurology,Experimental Neurology
Experimental Parasitology,Experimental Parasitology
Experimental Physiology,Experimental Physiology
Expert Reviews in Anti-infective Chemotherapy,Expert Review of Anti-infective Therapy
Expert Reviews in Molecular Medicine,Expert Reviews in Molecular Medicine
FASEB Journal,FASEB Journal
FEBS J.,FEBS Journal
FEBS Journal,FEBS Journal
FEBS Letters,FEBS Letters
FEBS Open Bio,FEBS Open Bio
FEMS Microbiology Letters,FEMS Microbiology Letters
Fertility and Sterility,Fertility and Sterility
Free Radical and Biology Medicine,Free Radical Biology and Medicine
Frontiers,Frontiers
Frontiers in Auditory Cognitive Neuroscience,Frontiers in Auditory Cognitive Neuroscience
Frontiers in Behavioral Neuroscience,Frontiers in Behavioral Neuroscience
Frontiers in Brain Imaging Methods,Frontiers in Brain Imaging Methods
Frontiers in Cellular Neuroscience,Frontiers in Cellular Neuroscience
Frontiers in Cognition,Frontiers in Cognition
Frontiers in Cognitive Science,Frontiers in Cognitive Science
Frontiers in Consciousness Research,Frontiers in Consciousness Research
Frontiers in Decision Neuroscience,Frontiers in Decision Neuroscience
Frontiers in Developmental Psychology,Frontiers in Developmental Psychology
Frontiers in Electrophysiology,Frontiers in Electrophysiology
Frontiers in Endocrinology,Frontiers in Endocrinology
Frontiers in Genetics,Frontiers in Genetics
Frontiers in Human Neuroscience,Frontiers in Human Neuroscience
Frontiers in Immunological Memory,Frontiers in Immunological Memory
Frontiers in Immunology,Frontiers in Immunology
Frontiers in Inflammation,Frontiers in Inflammation
Frontiers in Integrative Neuroscience,Frontiers in Integrative Neuroscience
Frontiers in Invertebrate Physiology,Frontiers in Invertebrate Physiology
Frontiers in Molecular Neuroscience,Frontiers in Molecular Neuroscience
Frontiers in Neural Circuits,Frontiers in Neural Circuits
Frontiers in Neurorobotics,Frontiers in Neurorobotics
Frontiers in Perception Science,Frontiers in Perception Science
Frontiers in Schizophrenia,Frontiers in Schizophrenia
Frontiers in Systems Neuroscience,Frontiers in Systems Neuroscience
Frontiers in T Cell Biology,Frontiers in T Cell Biology
Frontline Gastroenterology,Frontline Gastroenterology
Fungal Biology,Fungal Biology
Fungal Ecology,Fungal Ecology
Future Medicinal Chemistry,Future Medicinal Chemistry
Future Microbiology,Future Microbiology
Future Neurology,Future Neurology
Future Virology,Future Virology
"G3: Genes, Genomes, Genetics","G3: Genes, Genomes, Genetics"
Gastroenterology,Gastroenterology
Gene,Gene
Gene Therapy,Gene Therapy
Genes & Development,Genes & Development
Genes Brain Behaviour,"Genes, Brain and Behavior"
genesis: Journal of Genetics,Genesis: The Journal of Genetics and Development
Genetic Epidemiology,Genetic Epidemiology
Genetic Epidemology,Genetic Epidemiology
GENETICS,GENETICS
Genetics ,GENETICS
Genetics in Medicine,Genetics in Medicine
Genome Biology,Genome Biology
Genome Medicine,Genome Medicine
Genome Research,Genome Research
Glia,Glia
Glycobiology,Glycobiology
Gut,Gut
Haematologica,Haematologica
Haematologica/The Haematology Journal,Haematologica
HBM JNL Human Brain Mapping,Human Brain Mapping
Health,Health  
Health & Place,Health & Place
Health and Place,Health & Place
Health Policy Planning,Health Policy and Planning
Health Promotion International,Health Promotion International
Health Psychology,Health Psychology
"Health: An Interdisciplinary Journal for the Social Study of Health, Illness and Medicine",Health: An Interdisciplinary Journal for the Social Study of Health
Heart,Heart
Heart and Circulatory Physiology,Heart and Circulatory Physiology
Hepatology,Hepatology
Heptology,Hepatology
Hernia,Hernia
Hippocampus,Hippocampus
History of the Human Sciences,History of the Human Sciences
History Workshop Journal,History Workshop Journal
HPB,HPB
Hum Resour Health,Human Resources for Health
Human Brain Mapping,Human Brain Mapping
Human Mol Genetics Online,Human Molecular Genetics
Human Molecular Genetics,Human Molecular Genetics
Human Molecular Genetics Online,Human Molecular Genetics
Human Mutation,Human Mutation
"Human Mutation: Variation, Informatics, and Disease",Human Mutation
Human Reproduction,Human Reproduction
Human Resources for Health,Human Resources for Health
IJTLD,International Journal of Tuberculosis and Lung Disease (IJTLD)
Immnunobiology,Immunobiology
Immunity,Immunity
Immunogenetics,Immunogenetics
Immunological Reviews,Immunological Reviews
Immunology,Immunology
Immunology Letters,Immunology Letters
Implement Sci.,Implementation Science
Infection and Immunity,Infection and Immunity
Infection Genetics and Evolution,"Infection, Genetics and Evolution"
Inflammation Research,Inflammation Research
Inflammatory Bowel Diseases,Inflammatory Bowel Diseases
Influenza Other Respi Viruses.,Influenza and Other Respiratory Viruses
Int J Epidemiol,International Journal of Epidemiology
Int Journal for Parasitology,International Journal for Parasitology
Interface,Interface
International Health,International Health
International Immunology,International Immunology
International Joural of Epidemiology,International Journal of Epidemiology
International Journal for Equity in Health,International Journal for Equity in Health
International Journal for Parasitology,International Journal for Parasitology
International journal of applied earth observation and geoinformation,International Journal of Applied Earth Observation and Geoinformation
International Journal of Behavioral Nutrition and Physical Activity,International Journal of Behavioral Nutrition and Physical Activity
International Journal of Behavioural Nutrition and Physical Activity,International Journal of Behavioral Nutrition and Physical Activity
International Journal of Biochemistry & Cell Biology,International Journal of Biochemistry & Cell Biology
International Journal of Cardiology,International Journal of Cardiology
International Journal of Developmental Biology,International Journal of Developmental Biology
International Journal of Epidemiology,International Journal of Epidemiology
International Journal of Experimental Pathology,International Journal of Experimental Pathology
International Journal of Financial Research,International Journal of Financial Research
International Journal of Geriatric Psychiatry,International Journal of Geriatric Psychiatry
International Journal of Health Geographics,International Journal of Health Geographics
International Journal of Law in Context,International Journal of Law in Context
International journal of molecular sciences,International Journal of Molecular Sciences
International Journal of Obesity,International Journal of Obesity
International Journal of Parasitology,International Journal of Parasitology
International Journal of Rheumatology,International Journal of Rheumatology
International Journal of Stroke,International Journal of Stroke
International Journal of Tuberculosis  and Lung Disease,International Journal of Tuberculosis  and Lung Disease
International Psychogeriatrics,International Psychogeriatrics
International Reviews of Immunology,International Reviews of Immunology
Inyernational Journal of Epidemiology,International Journal of Epidemiology
J Biol Chem.,Journal of Biological Chemistry
J Biol Chemistry,Journal of Biological Chemistry
J Cardiovasc Magn Reson,Journal of Cardiovascular Magnetic Resonance
J Cell Sci.,Journal of Cell Science
J Clin Microbiol,Journal of Clinical Microbiology
J Immunol,Journal of Immunology
J Immunol ,Journal of Immunology
J Infect Dis,Journal of Infectious Diseases
J Med Chem,Journal of Medicinal Chemistry
J Med Chem.,Journal of Medicinal Chemistry
J Med Internet Research,Journal of Medical Internet Research
J Mol Biol,Journal of Molecular Biology
J Org Chem,Journal of Organic Chemistry
J Steroid Biochem Mol Biol,Journal of Steroid Biochemistry and Molecular Biology
J Synchrotron Radiat.,Journal of Synchrotron Radiation
JAIDS Journal of Acquired Immune Deficiency Syndromes,Journal of Acquired Immune Deficiency Syndromes
JERPH,International Journal of Environmental Research and Public Health
Jnl Biological Chemistry,Journal of Biological Chemistry
Jnl of the International Neuropsychological Society,Journal of the International Neuropsychological Society
Jounral of Clinical Microbiology,Journal of Clinical Microbiology
Journal Biological Chemistry,Journal of Biological Chemistry
Journal od Clinical Endocrinology,Journal of Clinical Endocrinology and Metabolism
Journal of Abnormal Psychology,Journal of Abnormal Psychology
Journal of Acquired Immune Deficiency Syndromes,Journal of Acquired Immune Deficiency Syndromes (JAIDS)
Journal of Acquired Immune Deficiency Syndroms (JAIDS),Journal of Acquired Immune Deficiency Syndromes (JAIDS)
Journal of Affective Disorders,Journal of Affective Disorders
Journal of Affective Disorders ,Journal of Affective Disorders
Journal of Aids,Journal of Aids
JOURNAL OF ALLERGY,Journal of Allergy and Clinical Immunology
JOURNAL OF ALLERGY & CLINICAL IMMUNOLOGY,Journal of Allergy and Clinical Immunology
Journal of Allergy and Clinical Immunology,Journal of Allergy and Clinical Immunology
Journal of Alzheimer Disease,Journal of Alzheimer Disease
Journal of Anthropological Archaeology,Journal of Anthropological Archaeology
Journal of Antimicrobial Chemotherapy,Journal of Antimicrobial Chemotherapy
Journal of Applied Crystallography,Journal of Applied Crystallography
Journal of Applied Physiology,Journal of Applied Physiology
Journal of Archaeological Science,Journal of Archaeological Science
Journal of Autism and Development Disorders,Journal of Autism and Developmental Disorders
Journal of Autism and Developmental Disorders,Journal of Autism and Developmental Disorders
JOURNAL OF BACTERIOLOGY,Journal of Bacteriology
Journal of Behavior Therapy and Experimental Psychiatry,Journal of Behavior Therapy and Experimental Psychiatry
Journal of Behaviour therapy and Experimental Psychiatry,Journal of Behavior Therapy and Experimental Psychiatry
Journal of Bioenergetics and Biomembranes,Journal of Bioenergetics and Biomembranes
Journal of Bioethical Inquiry,Journal of Bioethical Inquiry
Journal of Biol Chem,Journal of Biological Chemistry
Journal of Biological Chemistry,Journal of Biological Chemistry
Journal of Biological Physics,Journal of Biological Physics
Journal of Biomedical Graphics and Computing,Journal of Biomedical Graphics and Computing
Journal of Bone and Mineral Research,Journal of Bone and Mineral Research
Journal of Cell Physiology,Journal of Cell Physiology
Journal of Cell Science,Journal of Cell Science
Journal of Cellular Biochemistry,Journal of Cellular Biochemistry
Journal of cerebral blood flow and metabolism,Journal of Cerebral Blood Flow & Metabolism
Journal of Chemical Information and Modeling,Journal of Chemical Information and Modeling
Journal of Cheminformatics,Journal of Cheminformatics
Journal of Child Psychology and Psychiatry,Journal of Child Psychology and Psychiatry
Journal of Clinical Endocrinology,Journal of Clinical Endocrinology and Metabolism
Journal of Clinical Endocrinology and Metabolism,Journal of Clinical Endocrinology and Metabolism
Journal of Clinical Epidemiology,Journal of Clinical Epidemiology
Journal of Clinical Microbiology,Journal of Clinical Microbiology
Journal of Clinical Microbiology ,Journal of Clinical Microbiology
Journal of Clinical Pathology,Journal of Clinical Pathology
Journal of Clinical Virology,Journal of Clinical Virology
Journal of Cognitive Neuroscience,Journal of Cognitive Neuroscience
Journal of Comparative Neurology,Journal of Comparative Neurology
Journal of Computational Neuroscience,Journal of Computational Neuroscience
Journal of Consulting and Clinical Psychology,Journal of Consulting and Clinical Psychology
Journal of Cultural Economy,Journal of Cultural Economy
Journal of cycstic fibrosis,Journal of Cycstic Fibrosis
Journal of Depression & Anxiety,Journal of Depression & Anxiety
Journal of Endocrinology,Journal of Endocrinology
Journal of Epidemiology & Community Health,Journal of Epidemiology and Community Health
Journal of Epidemiology & Community Health ,Journal of Epidemiology and Community Health
Journal of Epidemiology and Community Health,Journal of Epidemiology and Community Health
Journal of Evaluation in Clinical Practice,Journal of Evaluation in Clinical Practice
Journal of Evolutionary Biology,Journal of Evolutionary Biology
Journal of Experimental Nanoscience,Journal of Experimental Nanoscience
Journal of Experimental Psychology:  Animal Behaviour Process,Journal of Experimental Psychology Animal Behavior Processes
Journal of Experimental Psychology: Human Perception and Performance,Journal of Experimental Psychology: Human Perception and Performance
Journal of Family Psychology,Journal of Family Psychology
Journal of General Virology,Journal of General Virology
Journal of Gerontology Series A: Medical Sciences,"The Journals of Gerontology, Series A: Biological Sciences and Medical Sciences"
Journal of Hepatology,Journal of Hepatology
Journal of Histochemistry & Cytochemistry,Journal of Histochemistry and Cytochemistry
Journal of Historical Geography,Journal of Historical Geography
Journal of Hospital Infections,Journal of Hospital Infections
Journal of Immunology,Journal of Immunology
Journal of Infection,Journal of Infection
Journal of Infectious Diseases,Journal of Infectious Diseases
"Journal of Infectious Diseases

",Journal of Infectious Diseases
Journal of Inherited Metabolic,Journal of Inherited Metabolic
Journal of Internal Medicine,Journal of Internal Medicine
Journal of Investigative Dermatology,Journal of Investigative Dermatology
Journal of Leukocyte Biology,Journal of Leukocyte Biology
Journal of Mechanisms of Ageing and Development,Journal of Mechanisms of Ageing and Development
Journal of Medical Ethics,Journal of Medical Ethics
Journal of Medical Genetics,Journal of Medical Genetics
Journal of Medical Virology,Journal of Medical Virology
Journal of Medical Virology ,Journal of Medical Virology
Journal of Medicinal Chemistry,Journal of Medicinal Chemistry
Journal of Medicinal Chemistry ,Journal of Medicinal Chemistry
Journal of Microbiology,Journal of Microbiology
Journal of Microscopy,Journal of Microscopy
Journal of Molecular Biology,Journal of Molecular Biology
Journal of molecular Endocrinology,Journal of Molecular Endocrinology
Journal of Molecular Medicine,Journal of Molecular Medicine
Journal of Molecular Neuroscience,Journal of Molecular Neuroscience
Journal of Neural Transmission,Journal of Neural Transmission
JOURNAL OF NEUROCHEMISTRY,Journal of Neurochemistry 
Journal of Neurochemistry ,Journal of Neurochemistry 
Journal of Neuroendocrinology,Journal of Neuroendocrinology
Journal of Neuroinflammation,Journal of Neuroinflammation
Journal of Neurology,Journal of Neurology
Journal of Neurology & Translational Neuroscience,Journal of Neurology & Translational Neuroscience
"Journal of Neurology, Neurosurgery & Psychiatry","The Journal of Neurology, Neurosurgery, and Psychiatry"
"Journal of Neurology, Neurosurgery & Psychiatry ","The Journal of Neurology, Neurosurgery, and Psychiatry"
"Journal of Neurology, Neurosurgery and Psychiatry","The Journal of Neurology, Neurosurgery, and Psychiatry"
Journal of Neurophysiology,Journal of Neurophysiology
Journal of Neuroscience,Journal of Neuroscience
Journal of Neuroscience ,Journal of Neuroscience
Journal of Neuroscience Methods,Journal of Neuroscience Methods
Journal of Nutrition,Journal of Nutrition
Journal of Nutrition Education and Behaviour,Journal of Nutrition Education and Behaviour
Journal of Orthopedic Research,Journal of Orthopedic Research
Journal of paediatric Urology,Journal of Paediatric Urology 
Journal of Parasitology Research,Journal of Parasitology Research
Journal of Pathology,Journal of Pathology
Journal of Physiology,Journal of Physiology
Journal of Poverty and Social Justice,Journal of Poverty and Social Justice
