,PMID,PMCID,MappedPublisher,Journal_Title,Article_Title,COST
69,,PMC3795252,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,SLP-76 sterile alpha motif (SAM) and individual H alpha helix mediates oligomer formation for microclusters and T-cell activation,£1160.09
70,,PMC3724652,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,?-Amino-3-hydroxy-5-methyl-4-isoxazole propionic acid (AMPA) and N-methyl-D-aspartate (NMDA) receptors adopt different subunit arrangements.,£1166.85
71,,PMC3597794,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,The HsiB1C1 (TssB/TssC) complex of the Pseudomonas aeruginosa type VI secretion system forms a bacteriophage tail sheath-like structure ,£1261.44
72,,PMC3522294,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Transcription Factor Positive Regulatory Domain 4 (PRDM4) recruits Protein Arginine Methyltransferase 5 (PRMT5) to mediate histone arginine methylation and control neural stem cell proliferation and differentiation,£1276.08
73,,PMC3774408,American Society for Biochemistry and Molecular Biology,JOURNAL OF BIOLOGICAL CHEMISTRY,"P2X receptor chimeras highlight roles of the amino terminus to partial agonist efficacy, the carboxyl terminus to recovery from desensitization, and independent regulation of channel transitions",£1540.00
74,,PMC3610987,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Caspase inhibitors protect neurons by enabling selective necroptosis of inflamed microglia,£1586.36
75,3610976,,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"Estrogen receptor á mediates proliferation of osteoblastic cells stimulated by estrogen and mechanical strain, but their acute down regulation of the Wnt antagonist Sost is mediated by Estrogen Receptor â",£1664.94
76,,PMC3696691,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,ZINC-INDUCED SELF-ASSOCIATION OF COMPLEMENT C3b AND FACTOR H: IMPLICATIONS FOR INFLAMMATION AND AGE-RELATED MACULAR DEGENERATION,£1743.84
77,23344959,PMC3585060,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,ca2+ signalling through catsper and ca2+ stores regulate different behaviours in human sperm,£2501.07
78,,PMC3481303,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,The sigma-1 receptor binds to the Nav1.5 voltage gated Na+ channel with four-fold symmetry,£955.00
79,,PMC3789947,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Mechanism for Recognition of an Unusual Mycobacterial Glycolipid,£969.68
80,,PMC3663556,American Society for Biochemistry and Molecular Biology,The Journal of Biological Chemistry,Endomembrane HRas controls vascular endothelial growth factor-induced nitric oxide synthase-mediated endothelial cell migration,£1166.60
81,3947303,,American Society for Investigative Pathology,American Journal of Pathology,Trophoblast- and Vascular Smooth Muscle Cell-Derived MMP-12 Mediates Elastolysis during Uterine Spiral Artery Remodeling,£995.31
82,23856774,PMC3811480,American Society for Microbiology,Antimicrobial Agents and Chemotherapy,The R Enantiomer of the Antitubercular Drug PA-824 as a Potential Oral Treatment for Visceral Leishmaniasis,£1287.19
83,,PMC3553740,American Society for Microbiology,Antimicrobial Agents and Chemotherapy,Assessing the Essentiality of Leishmania donovani Nitroreductase and Its Role in Nitro Drug Activation,£1287.20
84,23817378,PMC3754341,American Society for Microbiology,Antimicrobial Agents and Chemotherapy,Immunoactivating peptide P4 augments alveolar macrophage phagocytosis in two diverse human populations,£1521.66
85,23877697,,American Society for Microbiology,Antimicrobial Agfents and Chemotherapy,Cyclic AMP effectors in African Trypanosomes revealed by genome-scale RNA interference library screening for resistance to the phospphodiesterase inhibitor CpdA,£3750.05
86,,PMC3675966,American Society for Microbiology,Clinical and Vaccine Immunology,The Alveolar Microenvironment of patients infected with Human immunodeficiency virus does not modify alveolar macrophage interactions with Streptococcus pneumoniae,£743.85
87,,PMC3697472,American Society for Microbiology,Eukaryotic Cell,"Discovery of a sexual cycle in Aspergillus lentulus, a close relative of A. fumigatus.",£1653.18
88,,PMC3571300,American Society for Microbiology,Eukaryotic Cell,Evidence for recycling of invariant surface trans-membrane domain proteins in African trypanosomes,£2316.16
89,22988015,PMC3497410,American Society for Microbiology,Infection and Immunity,Dectin-1 is not required for controlling Candida albicans colonisation of the murine gastrointestinal tract,£1910.82
90,,,American Society for Microbiology,Infection and Immunity,Analysis of antibodies to newly described plasmodium falciparum merozoite antigens supports ...,£2034.00
91,,PMC3497412,American Society for Microbiology,Infection and Immunity,Progressive cross-reactivity in IgE responses: an explanation for the slow development of human immunity to schistosomiasis,£2249.43
92,,PMC3754575,American Society for Microbiology,Journal of Bacteriology,The agr locus sregulates virulence and colonization genes in clostridium difficile 027,£1343.82
93,,,American Society for Microbiology,Journal of Virology,The human adenovirus type 5 L4 promoter is activated by cellular stress response protein p53,£1312.59
94,23152534,PMC3554137,American Society for Microbiology,Journal of Virology,"Novel, potentially zoonotic paramyxoviruses from the African straw-coloured fruit bat (Eidolon helvum)",£1549.44
95,,PMC3648151,American Society for Microbiology,Journal of Virology,Structures of the Compact Helical Core Domains of Feline Calicivirus and Murine Norovirus VPg Proteins,£1585.64
96,,PMC3518918,American Society for Microbiology,Mbio,EspZ of enteropathogenic and enterohemorrhagic E. coli regulates type III secretion system protein translocation,£1586.75
97,,PMC3624257,American Society for Microbiology,Molecular and Cellular Biology,The mouse cytosine-5 RNA methyltranferase Nsun2 is a component of the chromatoid body and required for testis differentiation,£2363.45
98,,PMC3697669,American Society for Microbiology,Journal of Clinical Microbiology,Molecular Analysis of an Outbreak of Lethal Postpartum Sepsis Caused by Streptococcus pyogenes [Lethal Streptococcus pyogenes post-partum sepsis: Molecular analysis of an outbreak],£1503.47
99,,PMC3554100,American Society for Microbiology,Journal of Virology,"Unstable Polymerase-Nucleoprotein Interaction Is Not Responsible for Avian Influenza Virus Polymerase Restriction in Human Cells 
",£1871.85
100,,,American Society for Nutrition,American Society for Nutrition,The association between breastfeeding and HIV on postpartum maternal weight changes over 24 months in rural South Africa,£45.94
101,,,American Society of Hematology,Blood,Disease-associated missense mutations in the EVH1 domain disrupt intrinsic WASp function causing dysregulated actin dynamics and impaired dendritic cell migration,£1260.26
102,,,American Society of Hematology,Blood,SAP gene transfer restores cellular and humoral immune function in a murine model of X-linked lymphoproliferative disease,£1260.26
103,23255554,PMC3653566,American Society of Hematology,Blood Journal 2012,Peptide Length Determines the Outcome of T Cell Receptor/Peptide-MHCI Engagement,£1597.98
104,,,American Society of Hematology,Blood,Super-resolution imaging of remodeled synaptic actin reveals different synergies between NK cell receptors and integrins.,£1230.40
105,,PMC3501641,American Society of Hematology,Blood,Induction of IL-4Ra-dependent microRNAs identifies PI3K/Akt signaling as essential for IL-4-driven murine macrophage proliferation in vivo,£1288.14
106,,PMC3596968,American Society of Hematology,Blood,Siglec-E is a negative regulator of acute pulmonary neutrophil inflammation and suppresses CD11b ?2-integrin-dependent signaling,£1340.75
107,23002116,PMC3790949,American Society of Hematology,Blood,Evaluation of participants with suspected heritable platelet function disorders including recommendation and validation of a streamlined agonist panel.,£1527.20
108,,PMC3689249,American Society of Hematology,Blood,Characterization of a novel NKG2D and NKp46 double-mutant mouse reveals subtle variations in the NK cell repertoire,£1543.44
109,23043070,PMC3790942,American Society of Hematology,Blood Journal 2012,Epidermis instructs skin homing receptor expression in human T cells,£1578.43
110,,PMC3397259,American Society of Human Genetics (Elsevier),THE AMERICAN JOURNAL OF HUMAN GENETICS,Mutations in DPAGT1 Cause a Limb-Girdle Congenital Myasthenic Syndrome with Tubular Aggregates,£2181.09
111,,PMC3697654,American Society for Microbiology,Jounral of Clinical Microbiology,Evaluation of Xpert MTB/RIF for the detection of TB from blood of HIV2-infected adults confirms MTB-bacteremia as indicator of poor prognosis,£1364.47
112,22875964,PMC3457148,American Society for Microbiology,Journal of Virology,"Structure, function and evolution of the Crimean-C ongo hemorrhagic fever virus nucleocapsid protein",£1247.41
113,,PMC3624379,American Society for Microbiology,Journal of Virology,Genetic variability and the classification of hepatitis E virus,£2019.89
114,,,American Speech-Language-Hearing Association,Speech Language and Hearing Research,Developmental Trajectories of Verbal and Nonverbal Skills in Individuals with a History of Specific Language Impairment: From Childhood to Adolescence,£1969.02
115,3581401,,American Society for Biochemistry and Molecular Biology,BIOLOGICAL CHEMISTRY,MOLECULAR ARCH. OF A COMPLEX BETWEEN ADHESION PROTEIN FROM MALARIA PARASITE & INTRACELLULAR ADHESION,£946.55
116,,PMC3591638,American Society for Biochemistry and Molecular Biology,Biologicial Chemistry,Molecular Basis for Jagged-1 Serrate,£1281.59
117,,PMC3438964,American Society for Biochemistry and Molecular Biology,J Biol Chem.,Structure and mechanism of human UDP-xylose synthase: evidence for a promoting role of sugar ring distortion in a three-step catalytic conversion of UDP-glucuronic acid.,£1290.23
118,,PMC3308871,American Society for Biochemistry and Molecular Biology,J Biol Chem.,Structural and evolutionary basis for the dual substrate selectivity of human KDM4 histone demethylase family. ,£1508.97
119,,PMC3265891,American Society for Biochemistry and Molecular Biology,J Biol Chem.,Structural and kinetic evidence that catalytic reaction of human UDP-glucose 6-dehydrogenase involves covalent thiohemiacetal and thioester enzyme intermediates.,£1521.32
120,,PMC3597819,American Society for Biochemistry and Molecular Biology,J Biol Chemistry,Structural Basis for Cul3 Protein Assembly with the BTB-Kelch Family of E3 Ubiquitin Ligases,£1334.16
121,23129765,PMC3531760,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Contrasting Effects of a-synuclein and y-synuclein on the Phenotype of Cysteine String Protein alpha (CSPa) Null Mutant Mice Suggest Distinct Function of these Proteins in Neuronal Synapses,£1134.50
122,,PMC3516716,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"Novel keto-phospholipids are generated by monocytes and macrophages. Detected in Cystic Fibrosis, and activate peroxisome proliferator-activated receptor-? (Manuscript #M405409)",£1150.60
123,,PMC3581394,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Immobilization of Heparan Sulfate on Electrospun Meshes to Support Embryonic Stem Cell Culture and Differentiation,£1225.26
124,,PMC3554938,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Deubiquitinases regulate the activity of caspase-1 and IL-1? secretion via assembly of the inflammasome,£1246.42
125,,PMC2757965,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Mechanisms of activity-dependent plasticity in cellular nitric oxide-cGMP signaling,£1246.76
126,,,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Matrilin-1 A-domains: structural and functional investigations reveal insights into their role in cartilage ecm assembly,£1260.90
127,3234717,,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Methionine Oxidation of Sup35 Protein Induces Formation of the [PSI+] Prion in a Yeast Peroxiredoxin Mutant,£1276.08
128,,PMC3173209,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,The T cell receptor triggering apparatus is composed of monovalent or monomeric proteins.,£1286.86
129,3696646,,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Comparative Proteomic Analysis of Supportive and Unsupportive Extracellular Matrix Substrates for Human Embryonic Stem Cell Maintenance.,£1287.75
130,3682544,,American Society for Biochemistry and Molecular Biology,JOURNAL OF BIOLOGICAL CHEMISTRY,STRUCTURAL ANALYSIS OF COLLAGEN TYPE I INTERACTIONS WITH HUMAN FIBRONECTIN REVEALS A COOPERATIVE BONDING MODE,£1314.53
131,3431625,,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Opticin Exerts Its Anti-Angiogenic Activity by Regulating Extracellular Matrix Adhesiveness,£1343.39
132,,PMC3488092,American Society for Biochemistry and Molecular Biology,Journal of biological chemistry,Solution NMR Structure of the Ca2+- Bound N-Terminal Domain of Calcium Binding Protein 7 (CaBP7): A regulator of Golgi trafficking,£1443.99
133,2339840,PMC3591641,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Expanding the repertoire of amyloiod polymorphs by co-polymerization of related protein precursors,£1545.10
134,,PMC3630886,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,The Sec7 Guanine Nucleotide Exchange Factor GBF1 Regulates Membrane Recruitment of BIG1 and BIG2 Guanine Nucleotide Exchange Factors to the Trans-Golgi Network (TGN).,£1552.26
135,2952269,,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,SSS1p is required to complete protein translocon activation,£1556.61
136,3121340,,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Preferential Targeting of a Signal Recognition Particle-dependent Precursor ,£1556.61
137,,PMC3567677,American Society for Biochemistry and Molecular Biology,JOURNAL OF BIOLOGICAL CHEMISTRY,Talin 1 has unique expression versus Talin 2 in the heart and modifies the hypertrophic response to pressure overload,£1572.24
138,,PMC3774368,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Functional properties of five Dictyostelium discoideum P2X receptors,£1580.47
139,,PMC3630861,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Cross-species Analysis Reveals Evolving And Conserved Features of the Nuclear Factor kB (NF-kB) Proteins.,£1600.25
140,23569211,PMC3668706,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Highly divergent T cell receptor binding models underlie specific recognition of a bulged viral peptide bound to HLA,£1609.66
141,,PMC3488048,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Biophysical analysis of Kindlin-3 reveals an elongated conformation and maps integrin binding to the membrane-distal ?-subunit NPXY motif.,£1610.31
142,,PMC3724654,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Differential Virulence of Candida glabrata Glycosylation Mutants,£1621.62
143,2797226,,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Nucleotide Binding by Lhs1p Is Essential for Its Nucleotide Exchange Activity and for Function in Vivo,£1707.08
144,,PMC3442528,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Hypoxia-inducible factor-1a (HIF1a) switches on transient receptor potential ankryn repeat 1 (TRPA1) gene expression via a hypoxia response element-like motif to modulate cytokine release,£1763.21
145,2898433,,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Interactions between Kar2p and its nucleotide exchange factors Sil1p and Lhs1p are mechanistically distinct,£2003.13
146,3397837,,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Specific ?-containing integrins exert differential control on proliferation and 2D collective cell migration in mammary epithelial cells,£2032.22
147,,PMC3750171,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Hepatitis C virus NS5 inhibits mixed lineage kinase 3 to block apoptosis,£2311.57
148,2975197,,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Cell Cycle-dependent Regulation of the Forkhead Transcription Factor FOXK2 by CDK·Cyclin Complexes,£2344.79
149,,PMC3234811,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Picomolar nitric oxide signals from central neurons recorded using ultrasensitive detector cells,£999999.00
150,3137072,,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"Characterisation of GAS2-like 3, a new microtubule and actin-binding protein related to spectraplakins",£917.50
151,,PMC3522295,American Society for Biochemistry and Molecular Biology,Journal of biological chemistry,"Direct and indirect control of MAPK pathway associated components, BRAP/IMP and CRAF, by
the deubiquitylating enzyme USP15*",£929.31
152,,PMC3711325,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Glycoprotein biosynthesis in a eukaryote lacking the membrane protein rft1,£992.01
153,,PMC3591657,American Society for Biochemistry and Molecular Biology,MCP (Molecular & Cellular Proteomics),Global Subcellular Characterisation of Protein Degradation using Quantitative Proteomics,£1294.01
154,,PMC3734580,American Society for Biochemistry and Molecular Biology,Molecular and Cellular Proteomics,Heterogeneity in neutrophil microparticles reveals distinct proteome and function properties,£1545.70
155,,PMC3173209,American Society for Biochemistry and Molecular Biology,The journal of Biological Chemistry,The T-cel receptor triggering apparatus is composed of monovalent or monomeric proteins,£1281.15
156,,PMC3772201,American Society for Biochemistry and Molecular Biology,The Journal of Biological Chemistry,Galactose 6-o-sulfotransferases are not required for the generation of siglec-f ligands in leukocytes or lung tissue.,£1311.73
157,,PMC3663545,American Society for Biochemistry and Molecular Biology,The Journal of Biological Chemistry,Allosteric activation of trypanosomatid deoxyhypusine synthase by a catalytically dead paralog,£1324.57
158,,PMC3630849,American Society for Biochemistry and Molecular Biology,The Journal of Biological Chemistry,Structure of a Complex Phosphoglycan Epitope from gp72 of Trypanosoma cruzi,£1340.75
159,,PMC3527912,American Society for Biochemistry and Molecular Biology,The Journal of Biological Chemistry,Structural and functional characterisation of the kindlin-1 pleckstrin homology domain,£1518.46
160,23698002,PMC3696650,American Society for Biochemistry and Molecular Biology,The Journal of Biological Chemistry,T-Cell Receptor specifically maintained by altered thermodyamics,£1566.89
161,23443656,,American Society for Biochemistry and Molecular Biology,Jnl Biological Chemistry,Biochemical and immunological characterisation of Toxoplasma gondii macrophage migration inhibitory factor,£381.04
